model,target,score,params,predictors
rf,PPINCIMP,0.3012173913043478,"{'max_depth': 8, 'n_estimators': 28}",VALUERANGES++ABSORBSHOCK++SNAP++HHEDUC++BENEFITS_2
rf,PPINCIMP,0.2996521739130435,"{'max_depth': 6, 'n_estimators': 25}",VALUERANGES++SAVINGSRANGES++SNAP++HHEDUC++BENEFITS_2
rf,PPINCIMP,0.2991304347826087,"{'max_depth': 8, 'n_estimators': 25}",VALUERANGES++SNAP++HHEDUC++BENEFITS_2++KHscore
rf,PPINCIMP,0.2982608695652174,"{'max_depth': 4, 'n_estimators': 25}",VALUERANGES++PRODHAVE_4++SNAP++HHEDUC++KHscore
rf,PPINCIMP,0.2979130434782609,"{'max_depth': 6, 'n_estimators': 16}",VALUERANGES++PRODHAVE_4++PPEDUC++SNAP++KHscore
rf,PPINCIMP,0.2979130434782609,"{'max_depth': 6, 'n_estimators': 28}",VALUERANGES++PPEDUC++HHEDUC++BENEFITS_2++KHscore
rf,PPINCIMP,0.2979130434782609,"{'max_depth': 8, 'n_estimators': 28}",VALUERANGES++ABSORBSHOCK++HHEDUC++BENEFITS_2++KHscore
rf,PPINCIMP,0.2977391304347826,"{'max_depth': 6, 'n_estimators': 22}",VALUERANGES++SAVINGSRANGES++PPEDUC++SNAP++BENEFITS_2
rf,PPINCIMP,0.2973913043478261,"{'max_depth': 6, 'n_estimators': 22}",VALUERANGES++SAVINGSRANGES++SNAP++HHEDUC++KHscore
rf,PPINCIMP,0.2973913043478261,"{'max_depth': 6, 'n_estimators': 22}",VALUERANGES++PRODHAVE_4++PPEDUC++ABSORBSHOCK++KHscore
glm,PPINCIMP,0.29895652173913045,"{'C': 0.1, 'solver': 'sag'}",VALUERANGES++PRODHAVE_4++SAVINGSRANGES++SNAP++HHEDUC
glm,PPINCIMP,0.2982608695652174,"{'C': 0.2, 'solver': 'sag'}",VALUERANGES++PRODHAVE_4++PPEDUC++SAVINGSRANGES++HHEDUC
